gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,range_alg_0_12in,range_alg_12_24in,range_alg_24_36in,range_alg_36_48in
1469,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0,0,0,0
1470,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1471,3.380586657,1.826867545,1.199757118,1.239749022,3.380586657,1.826867545,1.199757118,1.239749022,3.381271032,1.827237381,1.2,1.24,0.0007,0.0004,0.0002,0.0003
1472,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0,0,0,0
1473,2.860667249,2.337295447,1.820075593,1.728726648,2.860667249,2.337295447,1.820075593,1.728726648,2.896359599,2.477880149,1.932626669,1.805253459,0.0357,0.1406,0.1126,0.0765
1474,14.79421201,10.00608535,8.906515156,7.706984668,14.8000002,10.0100002,8.9099998,7.71,14.8000002,10.0100002,8.9099998,7.71,0.0058,0.0039,0.0035,0.003
1475,11.04914207,7.485966848,6.627677577,5.810071864,11.04914207,7.485966848,6.627677577,5.810071864,11.05036826,7.486797613,6.628413092,5.810716644,0.0012,0.0008,0.0007,0.0006
1476,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1477,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0,0,0,0
1478,11.68624627,7.914679586,7.0153586,6.13274987,11.68624627,7.914679586,7.0153586,6.13274987,11.68926181,7.916721901,7.017168853,6.134332373,0.003,0.002,0.0018,0.0016
1479,2.905438117,2.464008589,1.924517128,1.795522781,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0146,0.006,0.0055,0.0045
1480,4.830128942,3.621786178,3.022198866,2.744844389,4.830128942,3.621786178,3.022198866,2.744844389,2.89265464,2.479115133,1.933038338,1.806076786,1.9375,1.1427,1.0892,0.9388
1481,2.837740667,2.316303351,1.826092453,1.735058117,2.837740667,2.316303351,1.826092453,1.735058117,2.837739305,2.316302239,1.826091576,1.735057284,0,0,0,0
1482,2.899466653,2.476841586,1.932279548,1.804560952,2.899466653,2.476841586,1.932279548,1.804560952,2.899469079,2.476843658,1.932281165,1.804562462,0,0,0,0
1483,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1484,2.96018964,2.290482233,1.735828736,1.65672526,2.96018964,2.290482233,1.735828736,1.65672526,2.998346986,2.338653712,1.761784501,1.670958032,0.0382,0.0482,0.026,0.0142
1485,2.830052552,2.499982741,1.939994441,1.819988607,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0.0001,0,0,0
1486,14.77644986,9.994071898,8.895821861,7.697731548,14.8000002,10.0100002,8.9099998,7.71,14.8000002,10.0100002,8.9099998,7.71,0.0236,0.0159,0.0142,0.0123
1487,2.90912292,2.460799098,1.922810532,1.793294889,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0109,0.0092,0.0072,0.0067
1488,3.040834714,2.257778167,1.655939568,1.590745557,3.040834714,2.257778167,1.655939568,1.590745557,3.059116034,2.23677616,1.63130976,1.570867807,0.0183,0.021,0.0246,0.0199
1489,3.035100092,2.274123728,1.67845622,1.607331988,3.035100092,2.274123728,1.67845622,1.607331988,3.040165189,2.268546704,1.671998346,1.602080972,0.0051,0.0056,0.0065,0.0053
1490,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1491,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1492,2.580796185,1.836232146,1.501536542,1.532208811,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0.0408,0.0762,0.0515,0.0322
1493,2.866887573,2.487704175,1.935901422,1.811802844,2.866887573,2.487704175,1.935901422,1.811802844,2.866887541,2.487704147,1.9359014,1.811802824,0,0,0,0
1494,11.2750391,7.702094397,6.800780772,5.941291645,11.2750391,7.702094397,6.800780772,5.941291645,14.8000002,10.0100002,8.9099998,7.71,3.525,2.3079,2.1092,1.7687
1495,2.867770881,2.48422103,1.933715533,1.809338749,2.867770881,2.48422103,1.933715533,1.809338749,2.87042902,2.486523657,1.935507896,1.811015826,0.0027,0.0023,0.0018,0.0017
1496,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0,0,0,0
