parc_gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,rngalg0_12,rngal12_24,rngal24_36,rngal36_48,logrg0_12,logrg12_24,logrg24_36,logrg36_48
499,2.866044376,2.45755144,1.934153671,1.820756596,2.866044376,2.45755144,1.934153671,1.820756596,2.866040052,2.457547732,1.934150753,1.820753849,0.0000043,0.0000037,0.0000029,0.0000027,0.0000043,0.0000037,0.0000029,0.0000027
500,2.829999987,2.161343064,1.574756493,1.589119696,2.829999987,2.161343064,1.574756493,1.589119696,2.829997266,2.161340986,1.574754979,1.589118167,0.0000027,0.0000021,0.0000015,0.0000015,0.0000027,0.0000021,0.0000015,0.0000015
501,2.889855995,2.444501392,1.910075887,1.781418018,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0301441,0.0254986,0.019924,0.018582,0.0296987,0.0251789,0.0197281,0.0184115
502,13.79261594,9.367367553,9.978894384,9.87998357,13.79261594,9.367367553,9.978894384,9.87998357,15.08823714,10.25500199,11.13663252,11.08958119,1.29562,0.887634,1.15774,1.2096,0.831003,0.635324,0.769061,0.792812
503,3.274177155,2.380437983,2.650567125,2.569419237,3.274177155,2.380437983,2.650567125,2.569419237,3.274177147,2.380437978,2.650567119,2.569419231,0,0,0,0,0,0,0,0
504,2.910072689,2.467714614,1.930770215,1.803827258,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0099274,0.0022854,0.0007703,0.0038273,0.0098785,0.0022828,0.00077,0.0038199
505,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
506,2.901573754,2.356677724,1.706445669,1.628523146,2.901573754,2.356677724,1.706445669,1.628523146,2.901618082,2.356644572,1.706352796,1.628435075,0.0000443,0.0000332,0.0000929,0.0000881,0.0000443,0.0000332,0.0000929,0.0000881
507,2.90947482,2.467570848,1.930809251,1.804047773,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0105253,0.0024292,0.0008094,0.0040478,0.0104703,0.0024262,0.000809,0.0040396
508,2.854689127,2.455799748,1.9364576,1.827022815,2.854689127,2.455799748,1.9364576,1.827022815,2.852519187,2.454427546,1.935190839,1.825954177,0.0021699,0.0013722,0.0012668,0.0010686,0.0021676,0.0013713,0.001266,0.0010681
509,4.919348022,3.465241559,1.956677835,1.551214994,5.1700001,3.5899999,1.96,1.52,5.1700001,3.5899999,1.96,1.52,0.250652,0.124758,0.0033222,0.031215,0.223665,0.117568,0.0033167,0.0307377
510,2.864303439,2.457146654,1.934283953,1.82142125,2.864303439,2.457146654,1.934283953,1.82142125,2.864303955,2.457147096,1.934284301,1.821421578,0.0000005,0.0000004,0.0000003,0.0000003,0.0000005,0.0000004,0.0000003,0.0000003
511,2.799996757,2.04037787,1.478746449,1.46494721,2.799996757,2.04037787,1.478746449,1.46494721,3.037751715,2.155349141,1.54992288,1.528449902,0.237755,0.114971,0.0711764,0.0635027,0.213299,0.108828,0.0687575,0.0615679
512,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
513,2.876726159,2.484436759,1.934816152,1.809625095,2.876726159,2.484436759,1.934816152,1.809625095,2.876716014,2.484427997,1.934809328,1.809618713,0.0000101,0.0000088,0.0000068,0.0000064,0.0000101,0.0000088,0.0000068,0.0000064
514,8.013193647,5.504652612,4.81409507,4.286896442,8.013193647,5.504652612,4.81409507,4.286896442,8.812667483,5.981003845,5.266810555,4.677264636,0.799474,0.476351,0.452715,0.390368,0.587494,0.389574,0.373434,0.329568
515,2.790460128,2.440106234,1.939964646,1.849822948,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0.0004601,0.0001061,0.0000355,0.0001771,0.00046,0.0001061,0.0000355,0.000177
516,2.772059282,2.134532802,1.561377439,1.573767403,2.772059282,2.134532802,1.561377439,1.573767403,2.819088465,2.170746073,1.587866881,1.600467046,0.0470292,0.0362133,0.0264894,0.0266996,0.0459568,0.035573,0.0261446,0.0263494
517,3.198314483,2.598687233,2.137229647,1.981936798,3.198314483,2.598687233,2.137229647,1.981936798,2.888228493,2.480590512,1.933530141,1.807060377,0.310086,0.118097,0.203699,0.174876,0.270093,0.111628,0.185399,0.161163
518,5.244492759,3.573400616,4.573944735,4.289277029,5.244492759,3.573400616,4.573944735,4.289277029,5.244490502,3.573399077,4.573942766,4.289275182,0.0000023,0.0000015,0.000002,0.0000018,0.0000023,0.0000015,0.000002,0.0000018
519,2.794648356,2.44107263,1.939642332,1.848211907,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0.0046484,0.0010725,0.0003578,0.0017881,0.0046376,0.001072,0.0003577,0.0017865
520,2.897905775,2.505948929,1.938171652,1.819066235,2.897905775,2.505948929,1.938171652,1.819066235,2.866547548,2.487817478,1.935939178,1.811878378,0.0313582,0.0181315,0.0022325,0.0071879,0.0308766,0.0179691,0.00223,0.0071621
521,2.635672658,1.845311135,1.309826745,1.30503377,2.635672658,1.845311135,1.309826745,1.30503377,3.079252742,2.107667101,1.484580827,1.474586867,0.44358,0.262356,0.174754,0.169553,0.367126,0.23298,0.161059,0.156622
522,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
523,2.904425073,2.510734101,1.953981184,1.835955328,2.904425073,2.510734101,1.953981184,1.835955328,2.855939487,2.49135349,1.937117872,1.814235731,0.0484856,0.0193806,0.0168633,0.0217196,0.0473468,0.0191952,0.0167227,0.0214871
